Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-3875.211	-4020.77	145.5595	0.9312071	0.791687	0.4401602	5.033221
6	-3879.631	-4025.07	145.4395	0.8777704	0.8139246	0.5270284	5.033221
12	-3885.318	-4030.809	145.4907	0.9106354	0.9495958	0.4916584	4.93567
18	-3886.483	-4030.339	143.8566	0.7478693	0.7386809	0.4119901	6.133549
24	-3875.604	-4019.87	144.2663	0.8086372	0.7743849	0.5008188	5.767199
30	-3885.497	-4031.13	145.6325	0.849384	0.6516804	0.3611167	5.221439
36	-3880.809	-4025.441	144.6319	0.8496999	0.6589792	0.3890385	5.735437
42	-3881.25	-4023.981	142.7306	0.8001227	0.7731524	0.4669102	6.639137
48	-3876.439	-4020.745	144.3061	0.7401643	0.7789848	0.3540087	5.928469
54	-3875.385	-4020.946	145.5615	0.9467611	0.9160938	0.5353835	4.856292
60	-3876.356	-4022.018	145.6615	0.899742	0.7872079	0.3769269	5.063798
66	-3883.067	-4027.882	144.8151	0.8329107	0.7673794	0.4715519	5.484442
72	-3889.207	-4035.97	146.7627	0.9630454	0.6696642	0.4464227	4.422453
78	-3882.836	-4029.255	146.4186	0.9028124	0.5320068	0.4120869	4.797014
84	-3880.748	-4027.496	146.748	1.075094	0.6729356	0.4639772	4.347523
90	-3877.56	-4023.769	146.2092	0.9887431	0.7025482	0.5471959	4.600558
96	-3870.418	-4017.316	146.8984	1.02365	0.6506577	0.491215	4.282373
102	-3881.828	-4027.804	145.9762	0.9202536	0.7288125	0.5952602	4.71003
108	-3885.974	-4032.506	146.532	0.9303013	0.609675	0.3757548	4.692413
114	-3882.169	-4027.736	145.5673	0.9325639	0.8147274	0.5208759	4.936686
120	-3876.625	-4021.329	144.7044	0.859658	0.8147274	0.5280896	5.448154
126	-3869.243	-4014.333	145.0903	0.8993116	0.5326804	0.6378377	5.333437
132	-3869.684	-4015.082	145.3987	0.9701798	0.6340935	0.6358475	5.041742
138	-3874.175	-4019.039	144.864	0.8557846	0.7234944	0.5798748	5.379558
144	-3879.811	-4024.473	144.6626	0.8557846	0.8612393	0.4916065	5.476855
150	-3881.812	-4026.38	144.5675	0.8557846	0.6228065	0.5211	5.666703
156	-3870.783	-4015.069	144.2864	0.8811195	0.667998	0.5326699	5.762546
162	-3876.788	-4021.531	144.7433	0.8811195	0.5784218	0.6242939	5.506389
168	-3885.906	-4030.112	144.2054	0.84576	0.5063217	0.36996	6.115497
174	-3883.712	-4028.762	145.0499	0.9505021	0.5632886	0.5723889	5.353509
180	-3887.431	-4032.791	145.3603	0.9238634	0.5940769	0.4887309	5.244831
186	-3883.849	-4027.644	143.7958	0.9133552	0.6222113	0.5485168	6.03393
192	-3878.575	-4025.225	146.6505	0.9400573	0.6430184	0.5250371	4.444268
198	-3870.739	-4016.878	146.1391	0.9585058	0.6430184	0.4037203	4.839236
204	-3868.691	-4013.55	144.8586	0.8630209	0.8557898	0.4701251	5.38837
210	-3875.169	-4019.091	143.9225	0.8533942	0.7837983	0.4001842	6.022293
216	-3865.21	-4010.133	144.9227	1.017094	0.6766352	0.4102625	5.448307
222	-3858.281	-4003.934	145.6523	1.017094	0.8365218	0.4271934	4.917997
228	-3862.141	-4008.173	146.0314	0.9692153	0.7643531	0.4769819	4.731504
234	-3868.215	-4012.207	143.9918	0.8325471	0.8172264	0.4662288	5.908455
240	-3866.466	-4009.929	143.4626	0.7563286	0.7984097	0.4484217	6.267344
246	-3869.878	-4013.434	143.5562	0.7482308	0.7073994	0.4636856	6.267344
252	-3878.223	-4024.966	146.7432	1.09192	0.8093732	0.4457042	4.262513
258	-3875.538	-4020.382	144.8436	0.9242844	0.8511222	0.4062261	5.429588
264	-3870.728	-4015.032	144.3045	0.8647732	0.7099387	0.4683023	5.789637
270	-3875.054	-4020.679	145.6249	0.8614594	0.6588467	0.3247287	5.256535
276	-3863.994	-4008.875	144.8812	0.9365679	0.6291843	0.4608763	5.50054
282	-3866.567	-4011.108	144.5408	0.8244716	0.811993	0.4098187	5.671764
288	-3872.236	-4017.01	144.7748	0.8244716	0.7638386	0.3742618	5.613044
294	-3874.741	-4020.606	145.8647	0.8880575	0.9951449	0.3405868	4.872864
300	-3870.999	-4016.379	145.3798	0.9264814	0.8237498	0.4054204	5.150397
306	-3880.119	-4024.931	144.8125	0.7711139	0.77993	0.3745697	5.610619
312	-3870.917	-4015.582	144.6647	0.9054969	0.7790687	0.3817661	5.610619
318	-3868.949	-4013.719	144.7702	0.8679413	0.7132692	0.4972178	5.503185
324	-3874.507	-4018.133	143.6263	0.7467985	0.5101396	0.5209643	6.332945
330	-3881.9	-4026.363	144.4629	0.8882056	0.5101396	0.5209643	5.799968
336	-3876.531	-4022.222	145.6908	0.9165929	0.7187769	0.4626871	4.9961
342	-3869.53	-4013.869	144.3384	0.871078	0.6569706	0.4306576	5.842702
348	-3868.427	-4012.566	144.1393	0.7388729	0.8382873	0.49102	5.842702
354	-3871.557	-4014.952	143.3958	0.7630551	0.633217	0.5039076	6.363571
360	-3874.746	-4019.169	144.4233	0.7116562	0.5743146	0.4546832	5.924329
366	-3874.122	-4017.338	143.2157	0.7867712	0.885545	0.5228228	6.262862
372	-3870.653	-4014.772	144.1186	0.7420589	0.8662813	0.5228228	5.806533
378	-3866.364	-4012.146	145.7828	0.8880394	0.7563085	0.4603538	4.936911
384	-3871.333	-4016.514	145.1808	0.9180726	0.7563085	0.5173743	5.20105
390	-3871.321	-4015.607	144.2864	0.8170831	0.765963	0.4352309	5.819345
396	-3878.005	-4023.589	145.5841	0.7603447	0.8227313	0.4943375	5.04205
402	-3876.464	-4021.912	145.4481	0.8545944	0.8593999	0.4943375	5.04205
408	-3876.148	-4022.33	146.1823	1.054728	0.7829612	0.6083484	4.470872
414	-3876.635	-4023.579	146.9434	1.05817	0.7077039	0.4305242	4.254502
420	-3866.023	-4012.193	146.1697	1.05817	0.8122553	0.32987	4.730993
426	-3866.478	-4012.242	145.7642	1.165309	0.6904382	0.3548197	4.95164
432	-3869.597	-4016.178	146.5803	1.036992	0.8495402	0.4117608	4.394833
438	-3869.411	-4015.876	146.4655	1.012255	0.728958	0.5413493	4.429315
444	-3865.197	-4012.139	146.9412	1.06941	0.7981016	0.4290193	4.187641
450	-3867.861	-4014.611	146.7496	1.06941	0.7418221	0.3570756	4.414215
456	-3858.836	-4005.694	146.8581	0.9135504	0.7418221	0.412397	4.379125
462	-3854.421	-3998.84	144.4193	0.7919262	0.7150022	0.5114808	5.723456
468	-3859.935	-4005.057	145.1223	0.8626335	0.8012272	0.389413	5.359641
474	-3851.766	-3996.777	145.0104	0.8740965	0.7433539	0.4830684	5.359641
480	-3866.879	-4010.458	143.5795	0.7935653	0.8329825	0.456111	6.154239
486	-3873.273	-4018.146	144.8729	0.8345862	0.6754024	0.3860244	5.602735
492	-3872.152	-4016.441	144.2885	0.8679206	0.9963856	0.4668106	5.62035
498	-3873.435	-4017.293	143.8573	0.8611331	0.9052528	0.4686487	5.910252
504	-3869.951	-4014.844	144.8926	0.8927709	0.6189237	0.4226773	5.564168
510	-3871.837	-4017.793	145.9553	0.9650078	0.8594575	0.5169051	4.677124
516	-3860.895	-4007.607	146.7125	1.040874	0.7820677	0.4958758	4.278124
522	-3873.55	-4019.082	145.5319	0.9589748	0.8314523	0.5084655	4.942128
528	-3870.384	-4016.027	145.6436	0.87393	0.8314523	0.442636	4.990036
534	-3866.298	-4010.769	144.4713	0.9443683	0.8314523	0.3744382	5.669696
540	-3866.343	-4010.751	144.4082	0.8766294	0.7991732	0.4644962	5.669696
546	-3862.885	-4008.624	145.7386	0.9327435	0.7991732	0.4813799	4.887704
552	-3861.882	-4009.017	147.1348	1.052771	0.7169276	0.4813799	4.091188
558	-3863.409	-4010.726	147.317	1.052771	0.7894886	0.5806058	3.845573
